web-scraper-order,web-scraper-start-url,unit-codes,unit-codes-href,prereqs
"1560438429-2468","http://handbook.mq.edu.au/2019/Units/UGByCode","CHIR114 - Chiropractic Sciences 2","http://handbook.mq.edu.au/2019/Units/UGUnit/CHIR114","CHIR103"
"1560436607-611","http://handbook.mq.edu.au/2019/Units/UGByCode","PHYS143 - Physics IB","http://handbook.mq.edu.au/2019/Units/UGUnit/PHYS143","PHYS140"
"1560437498-1422","http://handbook.mq.edu.au/2019/Units/UGByCode","INTS206 - Screening Europe: Cinema and Identity","http://handbook.mq.edu.au/2019/Units/UGUnit/INTS206","null"
"1560438136-2158","http://handbook.mq.edu.au/2019/Units/UGByCode","ECON203 - Microeconomic Analysis","http://handbook.mq.edu.au/2019/Units/UGUnit/ECON203","ECON111"
"1560437461-1400","http://handbook.mq.edu.au/2019/Units/UGByCode","ISYS224 - Database Systems","http://handbook.mq.edu.au/2019/Units/UGUnit/ISYS224","null"
"1560438166-2196","http://handbook.mq.edu.au/2019/Units/UGByCode","ECHE330 - PDPHE/HSIE","http://handbook.mq.edu.au/2019/Units/UGUnit/ECHE330","ECH130"
"1560437258-1200","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS553 - Taxation","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS553","BUSL251"
"1560437054-1039","http://handbook.mq.edu.au/2019/Units/UGByCode","MATH235 - Mathematics IIA","http://handbook.mq.edu.au/2019/Units/UGUnit/MATH235","null"
"1560437976-1966","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC240 - Signals and Systems","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC240","MATH133"
"1560438423-2449","http://handbook.mq.edu.au/2019/Units/UGByCode","CHIR315 - Chiropractic Science 5","http://handbook.mq.edu.au/2019/Units/UGUnit/CHIR315","CHIR213"
"1560436865-803","http://handbook.mq.edu.au/2019/Units/UGByCode","MGMT321 - Business Analytics Project","http://handbook.mq.edu.au/2019/Units/UGUnit/MGMT321","MGMT320"
"1560438738-2831","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS310 - Early Rome","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS310","AHST103"
"1560438680-2777","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS373 - Egypt in the New Kingdom","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS373","AHST360"
"1560436144-54","http://handbook.mq.edu.au/2019/Units/UGByCode","TEP440 - Society and Culture in the Secondary School I","http://handbook.mq.edu.au/2019/Units/UGUnit/TEP440","TEP421"
"1560436418-344","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY354 - Clinical and Experimental Neuroscience","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY354","BIOL115"
"1560438666-2759","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS394 - Field Methods of Archaeology","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS394","AHIS190"
"1560438012-1991","http://handbook.mq.edu.au/2019/Units/UGByCode","EDUC289 - Human Society and its Environment","http://handbook.mq.edu.au/2019/Units/UGUnit/EDUC289","EDUC105"
"1560438417-2442","http://handbook.mq.edu.au/2019/Units/UGByCode","CHN104 - Introductory Chinese I","http://handbook.mq.edu.au/2019/Units/UGUnit/CHN104","null"
"1560437335-1301","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS216 - Property Law","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS216","null"
"1560438287-2306","http://handbook.mq.edu.au/2019/Units/UGByCode","COMP434 - Advanced Software Engineering","http://handbook.mq.edu.au/2019/Units/UGUnit/COMP434","null"
"1560438427-2463","http://handbook.mq.edu.au/2019/Units/UGByCode","CHIR213 - Chiropractic Sciences 3","http://handbook.mq.edu.au/2019/Units/UGUnit/CHIR213","CHIR114"
"1560437292-1244","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS516 - European Law","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS516","null"
"1560438638-2742","http://handbook.mq.edu.au/2019/Units/UGByCode","ANTH222 - Stuff Happens: Anthropological Approaches to Global Capitalism","http://handbook.mq.edu.au/2019/Units/UGUnit/ANTH222","null"
"1560437563-1472","http://handbook.mq.edu.au/2019/Units/UGByCode","HLTH213 - Anatomy of Head, Neck and Trunk","http://handbook.mq.edu.au/2019/Units/UGUnit/HLTH213","null"
"1560438267-2292","http://handbook.mq.edu.au/2019/Units/UGByCode","CRO280 - Intermediate Croatian Short Term Residential Program","http://handbook.mq.edu.au/2019/Units/UGUnit/CRO280","null"
