web-scraper-order,web-scraper-start-url,faculties,faculties-href,courses,courses-href,conditions
"1560498334-4047","https://www.handbook.unsw.edu.au/","Faculty of Medicine","https://www.handbook.unsw.edu.au/FacultyOfMedicine/browse?id=5fa56ceb4f0093004aa6eb4f0310c7b0","MFAC3514
      8 UOC
      Elective","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MFAC3514/?browseByFaculty=FacultyOfMedicine&","null"
"1560500100-4859","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","SRAP4051
      6 UOC
      Social Research and Policy Honours","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/SRAP4051/?browseByFaculty=FacultyOfArtsAndSocialSciences&","Prerequisite: Enrolment in the Social Research and Policy honours program"
"1560498779-4232","https://www.handbook.unsw.edu.au/","Faculty of Law","https://www.handbook.unsw.edu.au/FacultyOfLaw/browse?id=57a56ceb4f0093004aa6eb4f0310c7b0","LAWS3135
      6 UOC
      Land Dealings: Residential and Commercial Contracts","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/LAWS3135/?browseByFaculty=FacultyOfLaw&","Prerequisite: Completion of 78 UOC in LAWS courses including Equity & Trusts"
"1560501361-5479","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","ARTS1190
      6 UOC
      Sydney: History, Landscapes, People","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS1190/?browseByFaculty=FacultyOfArtsAndSocialSciences&","null"
"1560497506-3645","https://www.handbook.unsw.edu.au/","UNSW Business School","https://www.handbook.unsw.edu.au/UnswBusinessSchool/browse?id=5a3a1d4f4f4d97404aa6eb4f0310c77a","INFS3603
      6 UOC
      Introduction to Business Analytics","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/INFS3603/?browseByFaculty=UnswBusinessSchool&","Prerequisite: (INFS1602 OR enroled in Program 3959 Data Science and Decisions) AND completion of 72 UOC within that program."
"1560500231-4923","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","MUSC2603
      6 UOC
      Materials and Structures of Music 4","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MUSC2603/?browseByFaculty=FacultyOfArtsAndSocialSciences&","Prerequisite: 24 units of credit at level 1, including MUSC2602"
"1560501082-5342","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","ARTS2785
      6 UOC
      Europe's Age of Catastrophe, 1914-1945","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS2785/?browseByFaculty=FacultyOfArtsAndSocialSciences&","Prerequisite: 24 units of credit at Level 1"
"1560498344-4052","https://www.handbook.unsw.edu.au/","Faculty of Medicine","https://www.handbook.unsw.edu.au/FacultyOfMedicine/browse?id=5fa56ceb4f0093004aa6eb4f0310c7b0","MFAC3507
      10 UOC
      Elective","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MFAC3507/?browseByFaculty=FacultyOfMedicine&","null"
"1560499264-4463","https://www.handbook.unsw.edu.au/","Faculty of Engineering","https://www.handbook.unsw.edu.au/FacultyOfEngineering/browse?id=5fa56ceb4f0093004aa6eb4f0310c7af","COMP6447
      6 UOC
      System and Software Security Assessment","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP6447/?browseByFaculty=FacultyOfEngineering&","Prerequisite: A mark of at least 65 in COMP6841, or a mark of at least 75 in COMP6441 or COMP3441."
"1560497494-3639","https://www.handbook.unsw.edu.au/","UNSW Business School","https://www.handbook.unsw.edu.au/UnswBusinessSchool/browse?id=5a3a1d4f4f4d97404aa6eb4f0310c77a","INFS3632
      6 UOC
      Service and Quality Management","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/INFS3632/?browseByFaculty=UnswBusinessSchool&","Prerequisite:INFS1602 AND completion of 72 UOC within that program."
"1560498080-3924","https://www.handbook.unsw.edu.au/","Faculty of Science","https://www.handbook.unsw.edu.au/FacultyOfScience/browse?id=57a56ceb4f0093004aa6eb4f0310c7ae","BABS2202
      6 UOC
      Molecular Cell Biology 1","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BABS2202/?browseByFaculty=FacultyOfScience&","Pre-requisite: BABS1201 and CHEM1011 or CHEM1031"
"1560497531-3657","https://www.handbook.unsw.edu.au/","UNSW Business School","https://www.handbook.unsw.edu.au/UnswBusinessSchool/browse?id=5a3a1d4f4f4d97404aa6eb4f0310c77a","INFS1603
      6 UOC
      Introduction to Business Databases","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/INFS1603/?browseByFaculty=UnswBusinessSchool&","null"
"1560499018-4342","https://www.handbook.unsw.edu.au/","Faculty of Engineering","https://www.handbook.unsw.edu.au/FacultyOfEngineering/browse?id=5fa56ceb4f0093004aa6eb4f0310c7af","ELEC2117
      6 UOC
      Electrical Systems Design","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ELEC2117/?browseByFaculty=FacultyOfEngineering&","Pre-Requisite:(elec1111 or elec1112) and (elec2141 or elec1041) and (comp1511 or comp1911 or comp1917)"
